TipoAcidente,CausaProvavel,SituacaoPista,CondTecnica
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Regular,Reta
Lateral,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Obstáculo Fixo,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Traseira,Animais na pista,Boa,Reta
Traseira,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Traseira,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Regular,Reta
Animal,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Tombamento,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Obstáculo Fixo,Animais na pista,Regular,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Aclive
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Aclive
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Frontal,Animais na pista,Boa,Reta
Animal,Animais na pista,Ruim,Reta
Traseira,Animais na pista,Boa,Reta
Traseira,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Frontal,Animais na pista,Boa,Reta
Tombamento,Animais na pista,Boa,Curva
Tombamento,Animais na pista,Boa,Curva
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Frontal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Tombamento,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Regular,Curva
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Curva
Obstáculo Fixo,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Traseira,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Ruim,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Obstáculo Fixo,Animais na pista,Ruim,Curva
Animal,Animais na pista,Regular,Curva
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Obstáculo Fixo,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Ruim,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Declive
Animal,Animais na pista,Boa,Declive
Animal,Animais na pista,Boa,Declive
Animal,Animais na pista,Regular,Aclive
Obstáculo Fixo,Animais na pista,Boa,Declive
Obstáculo Móvel,Animais na pista,Boa,Lombada
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Precipitação,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Traseira,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Traseira,Animais na pista,Boa,Reta
Frontal,Animais na pista,Boa,Curva
Frontal,Animais na pista,Boa,Curva
Obstáculo Fixo,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Lateral,Animais na pista,Ruim,Reta
Lateral,Animais na pista,Ruim,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Lateral,Animais na pista,Boa,Reta
Lateral,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Frontal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Aclive
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Precipitação,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Tombamento,Animais na pista,Ruim,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Aclive
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Obstáculo Fixo,Animais na pista,Boa,Curva
Traseira,Animais na pista,Boa,Reta
Traseira,Animais na pista,Boa,Reta
Animal,Animais na pista,Ruim,Aclive
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Curva
Precipitação,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Declive
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Lateral,Animais na pista,Boa,Reta
Animal,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Declive
Animal,Animais na pista,Boa,Reta
Obstáculo Fixo,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Curva
Animal,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Ruim,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Capotamento,Animais na pista,Boa,Curva
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Regular,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
Animal,Animais na pista,Boa,Reta
